location_type,incident_count,%_of_annual_reports
RESIDENCE / HOME,39483,39.75
STREETS / HWY / ROAD / ALLEY,19017,19.15
PARKING LOTS / GARAGE,11804,11.89
OTHER / UNKNOWN,7204,7.25
DEPARTMENT / DISCOUNT STORE,2363,2.38
