day,count,hour
FRI,1035,0.0
FRI,538,1.0
FRI,632,2.0
FRI,352,3.0
FRI,257,4.0
FRI,183,5.0
FRI,206,6.0
FRI,314,7.0
FRI,467,8.0
FRI,455,9.0
FRI,612,10.0
FRI,597,11.0
FRI,1047,12.0
FRI,676,13.0
FRI,703,14.0
FRI,782,15.0
FRI,821,16.0
FRI,964,17.0
FRI,1101,18.0
FRI,852,19.0
FRI,958,20.0
FRI,837,21.0
FRI,944,22.0
FRI,880,23.0
MON,960,0.0
MON,462,1.0
MON,522,2.0
MON,303,3.0
MON,242,4.0
MON,178,5.0
MON,225,6.0
MON,371,7.0
MON,501,8.0
MON,473,9.0
MON,566,10.0
MON,578,11.0
MON,1066,12.0
MON,665,13.0
MON,689,14.0
MON,732,15.0
MON,755,16.0
MON,913,17.0
MON,940,18.0
MON,841,19.0
MON,834,20.0
MON,803,21.0
MON,835,22.0
MON,632,23.0
SAT,1065,0.0
SAT,794,1.0
SAT,723,2.0
SAT,479,3.0
SAT,308,4.0
SAT,212,5.0
SAT,194,6.0
SAT,251,7.0
SAT,370,8.0
SAT,446,9.0
SAT,519,10.0
SAT,550,11.0
SAT,843,12.0
SAT,507,13.0
SAT,630,14.0
SAT,738,15.0
SAT,688,16.0
SAT,798,17.0
SAT,864,18.0
SAT,812,19.0
SAT,821,20.0
SAT,855,21.0
SAT,914,22.0
SAT,880,23.0
SUN,1145,0.0
SUN,790,1.0
SUN,822,2.0
SUN,554,3.0
SUN,372,4.0
SUN,257,5.0
SUN,208,6.0
SUN,227,7.0
SUN,355,8.0
SUN,406,9.0
SUN,431,10.0
SUN,453,11.0
SUN,793,12.0
SUN,494,13.0
SUN,583,14.0
SUN,626,15.0
SUN,696,16.0
SUN,766,17.0
SUN,903,18.0
SUN,800,19.0
SUN,820,20.0
SUN,863,21.0
SUN,910,22.0
SUN,729,23.0
THU,814,0.0
THU,440,1.0
THU,477,2.0
THU,276,3.0
THU,255,4.0
THU,196,5.0
THU,215,6.0
THU,306,7.0
THU,424,8.0
THU,464,9.0
THU,553,10.0
THU,547,11.0
THU,947,12.0
THU,619,13.0
THU,620,14.0
THU,696,15.0
THU,738,16.0
THU,811,17.0
THU,912,18.0
THU,830,19.0
THU,837,20.0
THU,831,21.0
THU,849,22.0
THU,706,23.0
TUE,889,0.0
TUE,426,1.0
TUE,465,2.0
TUE,310,3.0
TUE,220,4.0
TUE,200,5.0
TUE,204,6.0
TUE,297,7.0
TUE,467,8.0
TUE,480,9.0
TUE,541,10.0
TUE,562,11.0
TUE,1057,12.0
TUE,662,13.0
TUE,667,14.0
TUE,697,15.0
TUE,688,16.0
TUE,841,17.0
TUE,934,18.0
TUE,858,19.0
TUE,899,20.0
TUE,857,21.0
TUE,840,22.0
TUE,686,23.0
WED,818,0.0
WED,442,1.0
WED,459,2.0
WED,296,3.0
WED,189,4.0
WED,174,5.0
WED,234,6.0
WED,338,7.0
WED,434,8.0
WED,421,9.0
WED,563,10.0
WED,518,11.0
WED,943,12.0
WED,630,13.0
WED,695,14.0
WED,705,15.0
WED,787,16.0
WED,863,17.0
WED,858,18.0
WED,843,19.0
WED,856,20.0
WED,820,21.0
WED,813,22.0
WED,670,23.0
