location_type,incident_count,%_of_annual_reports
RESIDENCE / HOME,40957,37.59
STREETS / HWY / ROAD / ALLEY,19522,18.1
PARKING LOTS / GARAGE,13294,11.24
OTHER / UNKNOWN,6455,6.86
COMMERCIAL / OFFICE BUILDING,2956,2.25
