label,value,parent
2019,35,LAKE / WATERWAY
2020,35,ATM SEPARATE FROM BANK
2019,34,INDUSTRIAL SITE
2020,31,JAIL / PRISON
2018,31,INDUSTRIAL SITE
2019,31,ATM SEPARATE FROM BANK
2018,30,GAMBLING FACILITY / CASINO / RACE TRACK
2020,29,SCHOOLS / COLLEGES
2018,29,ARENA / STADIUM / FAIRGROUNDS / COLISEUM
2020,27,INDUSTRIAL SITE
2018,27,CAMP / CAMPGROUND
2018,24,LAKE / WATERWAY
2019,24,GAMBLING FACILITY / CASINO / RACE TRACK
2020,24,LAKE / WATERWAY
2019,21,ARENA / STADIUM / FAIRGROUNDS / COLISEUM
2018,18,AMUSEMENT PARK
2019,16,AMUSEMENT PARK
2019,15,REST AREA
2020,12,AMUSEMENT PARK
2018,11,REST AREA
2018,11,DOCK / WHARF / FREIGHT / MODAL TERMINAL
2019,11,DOCK / WHARF / FREIGHT / MODAL TERMINAL
2020,8,DOCK / WHARF / FREIGHT / MODAL TERMINAL
2020,7,REST AREA
2020,5,ARENA / STADIUM / FAIRGROUNDS / COLISEUM
2020,2,FARM FACILITY
2020,2,TRIBAL LANDS
2018,2,MILITARY INSTALLATION
2019,2,MILITARY INSTALLATION
2020,2,MILITARY INSTALLATION
2018,2,TRIBAL LANDS
2018,1,FARM FACILITY
2019,1,FARM FACILITY
2018,1,CYBERSPACE
