zip_code,offense_type,latitude,longitude
78741,THEFT,30.23164245,-97.70315297
78758,FAMILY DISTURBANCE,30.35644463,-97.70404072
78702,THEFT,30.25457959,-97.72396035
78744,CRIMINAL MISCHIEF,30.18669219,-97.75814874
78752,FAMILY DISTURBANCE,30.32755039,-97.69098571
78745,BURGLARY OF VEHICLE,30.20138509,-97.81124554
78745,FAMILY DISTURBANCE,30.2117396,-97.81402466
78741,FAMILY DISTURBANCE,30.23246337,-97.70214556
78744,FAMILY DISTURBANCE,30.19419842,-97.7347665
78704,FAMILY DISTURBANCE,30.25197885,-97.77680617
78745,BURGLARY OF VEHICLE,30.20355066,-97.81060323
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.36751434,-97.67784733
78758,THEFT,30.36741367,-97.6984384
78723,FAMILY DISTURBANCE,30.3185291,-97.7034222
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.28053158,-97.71154956
78745,FAMILY DISTURBANCE,30.22087706,-97.77481395
78744,CRIMINAL MISCHIEF,30.17933959,-97.75659411
78758,FAMILY DISTURBANCE,30.3699693,-97.70543557
78704,THEFT,30.23589625,-97.74495871
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.18083286,-97.76055251
78704,THEFT,30.2200027,-97.75439457
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.30709416,-97.69397392
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.34561778,-97.69901472
78748,FAMILY DISTURBANCE,30.17857459,-97.81937171
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.19426097,-97.77997979
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.19795121,-97.79377552
78758,CRIMINAL MISCHIEF,30.35875709,-97.69972149
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.23071597,-97.73388848
78745,FAMILY DISTURBANCE,30.19995502,-97.83369033
78745,FAMILY DISTURBANCE,30.22340661,-97.79190592
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.19973267,-97.74389169
78741,THEFT,30.23289806,-97.71880686
78758,BURGLARY OF VEHICLE,30.36192457,-97.71687597
78748,THEFT,30.18623685,-97.8471167
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.30496014,-97.6815941
78758,FAMILY DISTURBANCE,30.35341145,-97.70688248
78741,FAMILY DISTURBANCE,30.24089004,-97.73026008
78758,BURGLARY OF VEHICLE,30.37832657,-97.71789648
78702,CRIMINAL MISCHIEF,30.27595834,-97.70500026
78745,BURGLARY OF VEHICLE,30.22017679,-97.77183975
78741,CRIMINAL MISCHIEF,30.23155209,-97.71108648
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.22710756,-97.70545234
78748,FAMILY DISTURBANCE,30.18370593,-97.8347913
78748,FAMILY DISTURBANCE,30.15275651,-97.8274391
78745,BURGLARY OF VEHICLE,30.21845808,-97.76580809
78745,CRIMINAL MISCHIEF,30.21377762,-97.79300477
78744,FAMILY DISTURBANCE,30.18222395,-97.76120876
78704,THEFT,30.23829084,-97.75459354
78748,FAMILY DISTURBANCE,30.17444099,-97.79235167
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26797616,-97.737619
78704,THEFT,30.25137737,-97.76612074
78704,ASSAULT W/INJURY-FAM/DATE VIOL,30.25371659,-97.76427178
78757,BURGLARY OF VEHICLE,30.35547011,-97.73354236
78701,THEFT,30.26533133,-97.7466441
78702,FAMILY DISTURBANCE,30.27591907,-97.70778037
78744,FAMILY DISTURBANCE,30.15957223,-97.77588295
78753,BURGLARY OF VEHICLE,30.38357627,-97.66735495
78704,BURGLARY OF VEHICLE,30.2572777,-97.75302194
78744,BURGLARY OF VEHICLE,30.199997,-97.76274299
78752,FAMILY DISTURBANCE,30.34106824,-97.70690461
78744,FAMILY DISTURBANCE,30.20524259,-97.75566571
78741,BURGLARY OF VEHICLE,30.22437599,-97.74486522
78758,BURGLARY OF VEHICLE,30.40181568,-97.7047547
78757,BURGLARY OF VEHICLE,30.37186317,-97.72586524
78753,THEFT,30.37838582,-97.67913722
78748,THEFT,30.18123108,-97.81404133
78741,BURGLARY OF VEHICLE,30.23647958,-97.73586823
78741,BURGLARY OF VEHICLE,30.24528898,-97.72815213
78753,FAMILY DISTURBANCE,30.38978843,-97.65120925
78723,FAMILY DISTURBANCE,30.31587502,-97.66826488
78753,FAMILY DISTURBANCE,30.35460168,-97.68584909
78723,CRIMINAL MISCHIEF,30.31296536,-97.67185131
78758,FAMILY DISTURBANCE,30.36763411,-97.71053604
78758,THEFT,30.39472708,-97.70618849
78744,CRIMINAL MISCHIEF,30.18952295,-97.75121904
78758,THEFT,30.37890951,-97.69398775
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.23532226,-97.72493362
78723,FAMILY DISTURBANCE,30.3185291,-97.7034222
78753,FAMILY DISTURBANCE,30.36310581,-97.69545737
78702,BURGLARY OF VEHICLE,30.2764137,-97.70789367
78723,FAMILY DISTURBANCE,30.30981334,-97.68060486
78741,FAMILY DISTURBANCE,30.2229552,-97.69518366
78759,CRIMINAL MISCHIEF,30.39608262,-97.74609634
78745,FAMILY DISTURBANCE,30.19857537,-97.80599967
78723,FAMILY DISTURBANCE,30.30755468,-97.67805181
78745,BURGLARY OF VEHICLE,30.21861584,-97.75763966
78745,BURGLARY OF VEHICLE,30.22852083,-97.78533244
78745,THEFT,30.21330673,-97.80673842
78723,CRIMINAL MISCHIEF,30.31336598,-97.70553468
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.32382985,-97.67518807
78744,FAMILY DISTURBANCE,30.19570805,-97.7293371
78753,THEFT,30.37449116,-97.67740462
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.39438783,-97.67065387
78759,BURGLARY OF VEHICLE,30.39764251,-97.74707295
78702,BURGLARY OF VEHICLE,30.2805638,-97.70909274
